Referencia;Peso(Kg/m);d(mm);bf(mm);tw(mm);tf(mm);r(mm);dint(mm);T(mm);A(cm2);Apint(m2/m); Amasa(m2/t);Ixx(cm4);Sx(cm3);Zx(cm3);rx(cm);Av(cm2);Iyy(cm4);Sy(cm3);Zy(cm3);ry(cm);Ss(cm);J(cm4);Cw(cm6)
UC305x305x454;454;415;336;41.3;68.7;20;277.1;237.1;579.7;2.057;4.52;148200;7142;8835;15.9;173.9;43610;2596;4004;8.6;20.2;7857;13020000
UC305x305x415;415;403;334;38.9;62.7;20;277.1;237.1;530.3;2.03;4.877;130180;6460;7922;15.6;160.8;39090;2340;3610;8.5;18.7;6066;11270000
UC305x305x375;375;391;330;35.4;57.2;20;277.1;237.1;478.9;1.997;5.312;113040;5782;7023;15.3;144.4;34370;2083;3208;8.4;17.3;4583;9543000
UC305x305x342;342;382;328;32.6;52.6;20;277.1;237.1;437.2;1.976;5.738;100770;5276;6353;15.1;131.8;31030;1892;2910;8.4;16.1;3570;8391000
UC305x305x313;313;374;325;30;48.3;20;277.1;237.1;399.1;1.954;6.214;89820;4803;5735;14.9;120.4;27710;1705;2619;8.3;15;2763;7328000
UC305x305x283;283;365.3;322.2;26.8;44.1;20;277.1;237.1;360.4;1.931;6.798;79120;4332;5124;14.7;107.1;24640;1529;2344;8.2;13.8;2083;6340000
UC305x305x253;253;356;319;24.4;39.6;20;277.1;237.1;323.6;1.905;7.499;68480;3847;4510;14.5;96.47;21460;1345;2061;8.1;12.7;1516;5362000
UC305x305x240;240;352.5;318.4;23;37.7;20;277.1;237.1;305.8;1.898;7.87;64450;3657;4266;14.4;90.91;20310;1276;1953;8.1;12.1;1306;5024000
UC305x305x226;226;348;317;22.1;35.6;20;277.1;237.1;290.3;1.885;8.271;59820;3438;3994;14.3;86.71;18930;1194;1827;8;11.6;1108;4611000
UC305x305x202;202;341;315;20.1;31.8;20;277.1;237.1;259.5;1.867;9.164;52240;3064;3530;14.1;78.3;16590;1053;1610;7.9;10.7;799.8;3959000
UC305x305x198;198;339.9;314.5;19.1;31.4;20;277.1;237.1;252.4;1.865;9.358;51150;3010;3459;14.1;74.91;16300;1036;1582;8;10.5;758.1;3873000
UC305x305x179;179;333;313;18;28.1;20;277.1;237.1;229.2;1.848;10.27;44790;2690;3072;13.9;69.55;14380;918.9;1403;7.9;9.7;558.3;3337000
UC305x305x158;158;327.1;311.2;15.8;25;20;277.1;237.1;201.4;1.833;11.51;39000;2384;2699;13.8;61.16;12570;807.9;1232;7.8;8.9;393.9;2865000
UC305x305x143;143;323;309;14;22.9;20;277.1;237.1;183.8;1.82;12.62;35020;2168;2438;13.8;54.6;11270;729.5;1110;7.8;8.3;300.1;2535000
UC305x305x137;137;320.5;309.2;13.8;21.7;20;277.1;237.1;174.4;1.816;13.15;33060;2063;2315;13.7;53.34;10700;692.2;1054;7.8;8;261.3;2386000
UC305x305x129;129;318;308;13.1;20.6;20;277.1;237.1;166.6;1.807;13.82;31030;1951;2183;13.6;50.63;10040;652;992.7;7.7;7.7;224.4;2218000
UC305x305x118;118;314.5;307.4;12;18.7;20;277.1;237.1;150.2;1.8;15.12;27920;1775;1976;13.5;46.4;9061;589.5;897;7.7;7.2;170.6;1980000
UC305x305x107;107;311;306;10.9;17;20;277.1;237.1;137.7;1.79;16.56;25050;1611;1784;13.4;42.27;8125;531;807.5;7.6;6.8;129.8;1754000
UC305x305x97;96.9;307.9;305.3;9.9;15.4;20;277.1;237.1;123.4;1.783;18.19;22500;1461;1611;13.4;38.55;7309;478.8;727.7;7.6;6.4;98.4;1562000
UC254x254x167;167;289.1;265.2;19.2;31.7;13;225.7;199.7;212.9;1.578;9.441;30000;2075;2424;11.8;59.11;9870;744.3;1137;6.8;9.7;627.5;1632000
UC254x254x149;149;282;263;17.3;28.4;13;225.7;199.7;189.8;1.559;10.46;25930;1839;2129;11.6;52.7;8622;655.6;1000;6.7;8.9;451.9;1384000
UC254x254x132;132;276.3;261.3;15.3;25.3;13;225.7;199.7;168.1;1.545;11.7;22530;1631;1870;11.5;46.43;7531;576.4;878.4;6.6;8.1;319.2;1184000
UC254x254x115;115;269;259;13.5;22.1;13;225.7;199.7;146.3;1.525;13.28;18940;1408;1599;11.3;40.52;6405;494.6;752.8;6.6;7.2;213.8;975200
UC254x254x107;107;266.7;258.8;12.8;20.5;13;225.7;199.7;136.4;1.521;14.2;17510;1313;1485;11.3;38.29;5927;458;697.1;6.5;6.9;172.9;897400
UC254x254x101;101;264;257;11.9;19.6;13;225.7;199.7;128.9;1.51;14.92;16370;1240;1397;11.2;35.63;5549;431.8;656.5;6.5;6.6;149.1;828000
UC254x254x89;88.9;260.3;256.3;10.3;17.3;13;225.7;199.7;113.3;1.503;16.89;14270;1096;1224;11.2;30.97;4857;379;575.3;6.5;6;102.6;716600
UC254x254x81;81;256;255;9.4;15.6;13;225.7;199.7;102;1.491;18.6;12570;982.4;1090;11;28.1;4313;338.3;513.2;6.4;5.5;75.94;622800
UC254x254x73;73.1;254.1;254.6;8.6;14.2;13;225.7;199.7;93.1;1.487;20.33;11410;898.4;992.7;11;25.77;3907;306.9;465.4;6.4;5.2;57.86;561900
UC203x203x100;100;229;210;14.5;23.7;10;181.2;161.2;126.7;1.252;12.59;11320;989.1;1148;9.4;35.36;3663;348.9;532.9;5.3;7.3;208.9;385400
UC203x203x86;86.1;222.2;209.1;12.7;20.5;10;181.2;161.2;109.6;1.238;14.39;9446;850.2;976.4;9.2;30.57;3127;299.1;456.2;5.3;6.5;136.5;317600
UC203x203x71;71;215.8;206.4;10;17.3;10;181.2;161.2;90.4;1.22;17.19;7615;705.7;798.4;9.1;24.16;2537;245.8;373.6;5.2;5.6;80.07;249700
UC203x203x60;60;209.6;205.8;9.4;14.2;10;181.2;161.2;76.4;1.206;20.12;6121;584.1;655.7;8.9;22.06;2064;200.6;305.3;5.1;4.9;47.1;196900
