Referencia;Peso(Kg/m);d(mm);bf(mm);tw(mm);tf(mm);r(mm);dint(mm);T(mm);A(cm2);Apint(m2/m); Amasa(m2/t);Ixx(cm4);Sx(cm3);Zx(cm3);rx(cm);Av(cm2);Iyy(cm4);Sy(cm3);Zy(cm3);ry(cm);Ss(cm);J(cm4);Cw(cm6)
W310x310x342;342;382;328;32.6;52.6;20;277.1;237.1;437;1.976;5.738;100770;5276;6353;15.1;131.8;31030;1892;2910;8.4;16.1;3570;8391000
W310x310x313;313;374;325;30;48.3;20;277.1;237.1;399;1.954;6.214;89820;4803;5735;14.9;120.4;27710;1705;2619;8.3;15;2763;7328000
W310x310x283;283;365;322;26.9;44.1;20;277.1;237.1;360;1.93;6.794;78940;4325;5118;14.7;107.3;24590;1527;2342;8.2;13.8;2085;6317000
W310x310x253;253;356;319;24.4;39.6;20;277.1;237.1;323;1.905;7.499;68480;3847;4510;14.5;96.47;21460;1345;2061;8.1;12.7;1516;5362000
W310x310x226;226;348;317;22.1;35.6;20;277.1;237.1;288;1.885;8.271;59820;3438;3994;14.3;86.71;18930;1194;1827;8;11.6;1108;4611000
W310x310x202;202;341;315;20.1;31.8;20;277.1;237.1;257;1.867;9.164;52240;3064;3530;14.1;78.3;16590;1053;1610;7.9;10.7;799.8;3959000
W310x310x179;179;333;313;18;28.1;20;277.1;237.1;228;1.848;10.27;44790;2690;3072;13.9;69.55;14380;918.9;1403;7.9;9.7;558.3;3337000
W310x310x158;158;327;310;15.5;25.1;20;277.1;237.1;201;1.829;11.54;38890;2379;2691;13.8;60.26;12470;804.9;1226;7.8;8.9;393.5;2839000
W310x310x143;143;323;309;14;22.9;20;277.1;237.1;182;1.82;12.62;35020;2168;2438;13.8;54.6;11270;729.5;1110;7.8;8.3;300.1;2535000
W310x310x129;129;318;308;13.1;20.6;20;277.1;237.1;165;1.807;13.82;31030;1951;2183;13.6;50.63;10040;652;992.7;7.7;7.7;224.4;2218000
W310x310x117;117;314;307;11.9;18.7;20;277.1;237.1;150;1.798;15.15;27770;1769;1968;13.5;46.05;9025;588;894.5;7.7;7.2;169.9;1965000
W310x310x107;107;311;306;10.9;17;20;277.1;237.1;136;1.79;16.56;25050;1611;1784;13.4;42.27;8125;531;807.5;7.6;6.8;129.8;1754000
W310x310x97;97;308;305;9.9;15.4;20;277.1;237.1;123;1.782;18.19;22500;1461;1610;13.4;38.56;7288;477.9;726.3;7.6;6.4;98.33;1558000
W310x250x86;86;310;254;9.1;16.3;15;277.1;247.1;110;1.592;18.44;19840;1280;1417;13.4;33.54;4454;350.7;533;6.3;5.9;87.42;960000
W310x250x79;79;306;254;8.8;14.6;15;277.1;247.1;101;1.585;20.1;17660;1154;1275;13.2;31.95;3990;314.2;477.8;6.3;5.5;65.53;846400
W310x200x74;74;310;205;9.4;16.3;15;277.1;247.1;94.8;1.395;18.74;16450;1061;1188;13.1;34.42;2343;228.6;350.1;4.9;5.9;74.27;504700
W310x200x67;67;306;204;8.5;14.6;15;277.1;247.1;85.2;1.385;20.75;14510;948.4;1056;13;31.08;2068;202.7;310.2;4.9;5.5;54.3;438500
W310x200x60;60;303;203;7.5;13.1;15;277.1;247.1;76.1;1.377;23.12;12860;848.8;940.6;13;27.6;1828;180.1;275.1;4.9;5.1;39.56;383700
W310x165x52;52;317;167;7.6;13.2;8;291.1;275.1;66.5;1.273;24.3;11840;747.4;838;13.3;25.75;1025;122.8;188.5;3.9;4.3;30.93;236400
W310x165x44.5;44.5;313;166;6.6;11.2;8;291.1;275.1;56.7;1.263;28.27;9933;634.7;708.3;13.2;22.26;854.7;102.9;157.7;3.8;3.8;19.24;194400
W310x165x38.7;38.7;310;165;5.8;9.7;8;291.1;275.1;49.4;1.255;32.35;8518;549.5;610.9;13.1;19.51;726.8;88.1;134.7;3.8;3.4;12.67;163700
W310x100x32.7;32.7;313;102;6.6;10.8;8;291.1;275.1;41.8;1.007;30.68;6507;415.7;480.9;12.4;22.22;191.8;37.62;59.63;2.1;3.7;12.27;43610
W310x100x28.3;28.3;309;102;6;8.9;8;291.1;275.1;35.9;1;35.21;5437;351.9;407.5;12.2;19.97;158;30.99;49.18;2;3.3;7.652;35440
W310x100x23.8;23.8;305;101;5.6;6.7;8;291.1;275.1;30.4;0.989;41.43;4282;280.8;328.8;11.8;18.32;115.6;22.89;36.71;1.9;2.8;4.303;25590
W310x100x21.0;21;303;101;5.1;5.7;8;291.1;275.1;26.8;0.986;46.63;3712;245;287.4;11.7;16.62;98.31;19.46;31.2;1.9;2.5;2.983;21620
W250x250x167;167;289;265;19.2;31.8;13;225;199;212;1.577;9.42;30020;2077;2427;11.8;59.1;9878;745.5;1139;6.8;9.8;632.1;1631000
W250x250x149;149;282;263;17.3;28.4;13;225;199;190;1.559;10.46;25930;1839;2129;11.6;52.7;8622;655.6;1000;6.7;8.9;451.9;1384000
W250x250x131;131;275;261;15.4;25.1;13;225;199;167;1.541;11.75;22150;1611;1847;11.5;46.46;7446;570.6;869.7;6.6;8;313.1;1161000
W250x250x115;115;269;259;13.5;22.1;13;225;199;146;1.525;13.28;18940;1408;1599;11.3;40.52;6405;494.6;752.8;6.6;7.2;213.8;975200
W250x250x101;101;264;257;11.9;19.6;13;225;199;129;1.51;14.92;16370;1240;1397;11.2;35.63;5549;431.8;656.5;6.5;6.6;149.1;828000
W250x250x89;89;260;256;10.7;17.3;13;225;199;114;1.5;16.74;14260;1097;1226;11.1;31.91;4840;378.1;574.5;6.5;6;103.9;712300
W250x250x80;80;256;255;9.4;15.6;13;225;199;102;1.491;18.6;12570;982.4;1090;11;28.1;4313;338.3;513.2;6.4;5.5;75.94;622800
W250x250x73;73;253;254;8.6;14.2;13;225;199;92.9;1.482;20.32;11280;891.8;985.6;11;25.67;3880;305.5;463.2;6.4;5.2;57.72;552900
W250x200x67;67;257;204;8.9;15.7;13;225;199;85.8;1.29;19.2;10360;806.5;902;11;27;2223;218;332.2;5;5.5;62.72;323300
W250x200x58;58;252;203;8;13.5;13;225;199;74.2;1.278;21.92;8736;693.3;770.7;10.8;24.04;1883;185.6;282.7;5;5;41.15;267600
W250x200x49.1;49.1;247;202;7.4;11;13;225;199;62.6;1.265;25.77;7069;572.3;633.9;10.6;21.77;1512;149.7;228.4;4.9;4.4;24.24;210400
W250x145x44.8;44.8;266;148;7.6;13;8;240;224;57;1.095;24.36;7115;534.9;602.7;11.1;21.85;703.4;95.06;146.1;3.5;4.2;26.28;112300
W250x145x38.5;38.5;262;147;6.6;11.2;8;240;224;49.1;1.085;28.04;6014;459.1;514.1;11;18.89;593.6;80.77;123.8;3.4;3.8;16.97;93240
W250x145x32.7;32.7;258;146;6.1;9.1;8;240;224;41.9;1.074;32.77;4894;379.4;424.8;10.8;17.18;472.6;64.73;99.48;3.3;3.3;9.935;73100
W250x100x28.4;28.4;260;102;6.4;10;8;240;224;36.3;0.901;31.61;4003;307.9;353.6;10.5;18.14;177.5;34.81;54.75;2.2;3.5;9.766;27630
W250x100x25.3;25.3;257;102;6.1;8.4;8;240;224;32.2;0.896;35.3;3429;266.9;307.4;10.2;17.05;149.1;29.24;46.19;2.1;3.2;6.6;22950
W250x100x22.3;22.3;254;102;5.8;6.9;8;240;224;28.5;0.891;39.75;2895;228;264;10;15.98;122.5;24.03;38.17;2;2.8;4.404;18620
W250x100x17.9;17.9;251;101;4.8;5.3;8;240;224;22.8;0.883;49.35;2248;179.1;207.3;9.9;13.19;91.34;18.08;28.64;2;2.4;2.283;13730
W200x200x100;100;229;210;14.5;23.7;10;181.1;161.1;127;1.252;12.59;11320;989.1;1148;9.4;35.36;3663;348.9;532.9;5.3;7.3;208.9;385400
W200x200x86;86;222;209;13;20.6;10;181.1;161.1;110;1.237;14.26;9469;853;980.9;9.2;31.16;3138;300.3;458.3;5.3;6.5;139.4;317800
W200x200x71;71;216;206;10.2;17.4;10;181.1;161.1;91;1.218;17.05;7659;709.2;803.1;9.1;24.59;2537;246.3;374.5;5.2;5.6;81.67;249900
W200x200x59;59;210;205;9.1;14.2;10;181.1;161.1;75;1.205;20.3;6111;582;652.6;8.9;21.51;2040;199;302.7;5.1;4.9;46.33;195400
W200x200x52;52;206;204;7.9;12.6;10;181.1;161.1;66.5;1.195;22.87;5269;511.6;569.2;8.8;18.65;1783;174.8;265.5;5.1;4.4;32.26;166700
W200x200x46.1;46.1;203;203;7.2;11;10;181.1;161.1;58.9;1.186;25.8;4543;447.5;495.2;8.8;16.88;1534;151.1;229.4;5.1;4;22.01;141300
W200x165x41.7;41.7;205;166;7.2;11.8;10;181.1;161.1;53.2;1.042;25;4085;398.5;445.2;8.7;17.12;900.4;108.4;165.4;4.1;4.2;22.23;83940
W200x165x35.9;35.9;201;165;6.2;10.2;10;181.1;161.1;45.7;1.032;28.76;3437;342;379.2;8.6;14.72;764.2;92.64;141;4;3.8;14.51;69500
W200x135x31.3;31.3;210;134;6.4;10.2;8;190;174;39.7;0.929;29.57;3141;299.1;335.7;8.8;14.96;409.6;61.13;93.79;3.1;3.6;12;40820
W200x135x26.6;26.6;207;133;5.8;8.4;8;190;174;33.9;0.921;34.58;2584;249.7;279.4;8.7;13.41;329.8;49.59;76.15;3.1;3.1;7.199;32470
W200x100x22.5;22.5;206;102;6.2;8;8;190;174;28.6;0.794;35.3;2002;194.4;222.6;8.3;14.1;142;27.84;43.71;2.2;3.1;5.733;13860
W200x100x19.3;19.3;203;102;5.8;6.5;8;190;174;24.8;0.789;40.48;1659;163.5;187.7;8.1;12.98;115.4;22.62;35.66;2.1;2.8;3.678;11090
W200x100x15.0;15;200;100;4.3;5.2;8;190;174;19.1;0.778;51.88;1278;127.8;145;8.1;9.757;86.88;17.37;27.09;2.1;2.4;1.796;8221
W150x150x37.1;37.1;162;154;8.1;11.6;6;138.9;126.9;47.4;0.913;24.6;2219;273.9;309.7;6.8;13.88;706.8;91.79;139.9;3.8;3.8;19.19;39930
W150x150x29.8;29.8;157;153;6.6;9.3;6;138.9;126.9;37.9;0.902;30.32;1714;218.3;243.8;6.7;11.17;555.5;72.62;110.5;3.8;3.2;10.01;30270
W150x150x22.5;22.5;152;152;5.8;6.6;6;138.9;126.9;28.6;0.89;39.89;1204;158.5;175.9;6.5;9.534;386.5;50.86;77.54;3.6;2.6;4.152;20410
W150x100x24.0;24;160;102;6.6;10.3;6;138.9;126.9;30.6;0.704;29.38;1342;167.8;191.4;6.6;11.42;182.5;35.79;55.24;2.4;3.4;9.232;10200
W150x100x18.0;18;153;102;5.8;7.1;6;138.9;126.9;22.9;0.692;38.59;914.9;119.6;135.6;6.3;9.623;125.8;24.67;38.23;2.3;2.7;3.692;6682
W150x100x13.5;13.5;150;100;4.3;5.5;6;138.9;126.9;17.3;0.681;50.19;685;91.34;102.3;6.2;7.182;91.8;18.36;28.25;2.3;2.2;1.678;4785
W130x130x28.1;28.1;131;128;6.9;10.9;8;109;93;35.9;0.746;26.41;1099;167.8;191;5.5;10.58;381.4;59.6;90.88;3.2;3.8;13.23;13730
W130x130x23.8;23.8;127;127;6.1;9.1;8;109;93;30.3;0.736;30.94;885.5;139.4;157.1;5.4;9.197;311;48.97;74.66;3.2;3.3;7.99;10790
W100x100x19.3;19.3;106;103;7.1;8.8;6;88.1;76.1;24.7;0.599;30.88;475.8;89.79;103.2;4.3;8.266;160.6;31.18;47.94;2.5;3.1;6.288;3785
HP460x304;304;464;460;28.6;28.6;30;406.8;346.8;387;2.659;8.748;143910;6203;7063;19.2;149.4;46510;2022;3125;10.9;12;1215;21980000
HP460x269;269;457;457;25.4;25.4;30;406.8;346.8;343;2.64;9.803;125400;5488;6209;19.1;132.5;40490;1772;2732;10.8;11.1;860.1;18810000
HP460x234;234;451;454;22.1;22.1;30;406.8;346.8;298;2.622;11.2;107750;4778;5369;19;115.7;34530;1521;2340;10.7;10.1;576.8;15850000
HP460x202;202;445;451;19.1;19.1;30;406.8;346.8;257;2.604;12.87;91880;4129;4610;18.8;100.5;29240;1297;1992;10.6;9.2;381.9;13240000
HP410x272;272;419;413;28.6;28.6;20;361.8;321.8;347;2.398;8.902;102530;4894;5607;17.2;126.5;33660;1630;2519;9.9;10.9;1020;12790000
HP410x242;242;413;410;25.4;25.4;20;361.8;321.8;308;2.381;9.987;89460;4332;4930;17.1;112;29230;1426;2199;9.8;9.9;716;10950000
HP410x211;211;406;406;22.2;22.2;20;361.8;321.8;269;2.357;11.37;76270;3757;4245;16.9;97.51;24800;1221;1879;9.6;9;478.7;9118000
HP410x181;181;400;403;19.1;19.1;20;361.8;321.8;230;2.339;13.16;64490;3224;3617;16.8;83.82;20860;1035;1588;9.5;8;307;7557000
HP410x151;151;394;400;15.9;15.9;20;361.8;321.8;192;2.322;15.72;52850;2683;2986;16.7;69.91;16970;848.8;1299;9.4;7.1;179.7;6061000
HP410x131;131;389;398;13.7;13.7;20;361.8;321.8;167;2.308;18.15;44880;2307;2554;16.6;60.32;14400;724;1105;9.4;6.4;116.9;5068000
HP360x174;174;361;378;20.4;20.4;20;320.6;280.6;222;2.159;12.33;51190;2836;3202;15.1;81.07;18390;973.2;1495;9;8.4;346.1;5325000
HP360x152;152;356;376;17.9;17.9;20;320.6;280.6;194;2.146;13.99;44230;2485;2787;15;71.11;15880;844.7;1295;9;7.7;235.9;4532000
HP360x132;132;351;373;15.6;15.6;20;320;280;168;2.128;15.97;37830;2155;2403;14.9;61.99;13500;724.3;1108;8.9;7;157.9;3794000
HP360x108;108;346;370;12.8;12.8;20;320;280;138;2.112;19.33;30640;1771;1960;14.8;51.2;10810;584.6;893;8.8;6.1;89.67;2999000
HP310x132;132;314;313;18.3;18.3;20;277.1;237.1;167.3;1.809;13.66;28940;1843;2091;13;64.86;9373;598.9;924.3;7.4;7.8;217;2044000
HP310x125;125;312;312;17.4;17.4;20;277.1;237.1;159;1.803;14.33;27290;1749;1979;13;61.65;8826;565.7;872.3;7.4;7.5;187.3;1911000
HP310x110;110;308;310;15.4;15.5;20;277.1;237.1;141;1.791;16.05;23910;1553;1746;12.9;54.67;7710;497.4;765.3;7.3;6.9;133.3;1646000
HP310x93;93;303;308;13.1;13.1;20;277.1;237.1;119;1.777;18.8;19890;1313;1466;12.8;46.65;6389;414.8;637;7.2;6.2;83.15;1340000
HP310x79;79;299;306;11;11;20;277.1;237.1;100;1.766;22.22;16530;1105;1226;12.7;39.51;5259;343.7;526.7;7.2;5.6;51.23;1089000
HP250x85;85;254;260;14.4;14.4;13;225;199;108;1.497;17.53;12300;968.8;1095;10.6;39.69;4225;325;499.8;6.2;5.8;83.18;605400
HP250x62;62;246;256;10.5;10.7;13;225;199;80;1.473;23.51;8753;711.6;792.8;10.4;28.93;2995;233.9;357.9;6.1;4.7;34.09;414100
HP200x53;53;204;207;11.3;11.3;10;181.1;161.1;68.4;1.196;22.36;4977;487.9;551.2;8.5;24.89;1673;161.6;248.5;4.9;4.5;31.94;155000
HP200x43;43;200;205;9;9;10;182;162;54.14;1.185;27.88;3887;388.7;434.5;8.4;19.84;1293;126.2;193.3;4.8;3.8;16.34;117800
W44x408;607;1138;410;31;55;30;1028;968;777.4;3.802;6.23;1624100;28540;33000;45.7;376.4;63470;3096;4886;9;17.6;5789;185250000
W44x368;548;1128;407;28;50;30;1028;968;702.5;3.776;6.846;1456640;25820;29720;45.53;339.5;56400;2771;4358;8.9;16.3;4344;163220000
W44x335;499;1118;405;26;45;30;1028;968;635;3.752;7.473;1305020;23340;26810;45.17;313.7;50000;2469;3879;8.8;15.1;3253;143400000
W44x290;433;1108;402;22;40;30;1028;968;551;3.728;8.549;1136540;20510;23370;45.23;266.7;43420;2160;3370;8.8;13.7;2229;123500000
W44x262;390;1100;400;20;36;30;1028;968;497;3.708;9.422;1016360;18470;20990;45.02;242.1;38490;1924;2995;8.7;12.7;1649;108680000
W44x230;343;1090;400;18;31;30;1028;968;436;3.692;10.67;878350;16110;18270;44.64;216.9;33130;1656;2575;8.6;11.5;1104;92700000
W40x655;976;1108;428;50;89.9;30;928.1;868.1;1243;3.776;3.874;2348680;42390;50290;43.49;570.7;118520;5538;8838;9.7;26.4;24410;304410000
W40x593;883;1092;424;45.5;82;30;928.1;868.1;1125;3.737;4.23;2096410;38390;45260;43.16;516.5;104970;4951;7873;9.6;24.4;18510;265670000
W40x503;748;1068;417;39;70;30;928.1;868.1;953;3.674;4.908;1731940;32430;37880;42.62;438.9;85110;4082;6459;9.4;21.4;11550;210640000
W40x431;642;1048;412;34;60;30;928.1;868.1;818;3.624;5.646;1450580;27680;32090;42.11;379.6;70280;3411;5378;9.2;18.9;7381;170660000
W40x397;591;1040;409;31;55.9;30;928.1;868.1;753;3.602;6.095;1331030;25590;29520;42.05;346.3;64010;3130;4915;9.2;17.7;5895;154320000
W40x372;554;1032;408;29.5;52;30;928.1;868.1;706;3.585;6.47;1232370;23880;27490;41.78;328;59090;2896;4546;9.1;16.8;4834;141320000
W40x362;539;1030;407;28.4;51.1;30;928.1;868.1;687;3.579;6.634;1202530;23350;26820;41.83;316.4;57630;2832;4435;9.1;16.5;4529;137550000
W40x324;483;1020;404;25.4;46;30;928.1;868.1;615;3.553;7.358;1067480;20930;23920;41.65;282.7;50710;2510;3918;9;15.2;3306;119890000
W40x297;443;1012;402;23.6;41.9;30;928.1;868.1;564;3.533;7.984;966510;19100;21770;41.4;261.8;45490;2263;3529;8.9;14.2;2543;106730000
W40x277;412;1008;402;21.1;40;30;928.1;868.1;525;3.53;8.563;910470;18060;20460;41.63;236;43400;2159;3348;9;13.6;2144;101450000
W40x249;371;1000;400;19;36.1;30;928.1;868.1;473;3.51;9.456;813730;16270;18360;41.48;212.5;38580;1929;2984;9;12.6;1588;89440000
W40x215;321;990;400;16.5;31;30;928.1;868.1;408;3.495;10.88;696440;14060;15790;41.27;184.6;33120;1656;2554;9;11.3;1033;76020000
W40x199;296;982;400;16.5;27.1;30;928.1;868.1;377;3.479;11.73;620310;12630;14250;40.53;181.5;28960;1448;2242;8.7;10.5;763.6;65890000
W40x392;584;1056;314;36;64;30;928.1;868.1;744;3.244;5.556;1246070;23590;28030;40.93;403.2;33430;2129;3474;6.7;19.9;7153;81240000
W40x331;494;1036;309;31;54;30;928.1;868.1;629;3.194;6.467;1027950;19840;23410;40.42;344.5;26820;1736;2818;6.5;17.4;4395;64010000
W40x327;486;1036;308;30;54.1;30;928.1;868.1;619.3;3.192;6.565;1019880;19680;23170;40.58;344.5;26590;1726;2791;6.5;17.3;4293;63490000
W40x294;438;1026;305;26.9;49;30;928.1;868.1;556;3.166;7.25;909170;17720;20740;40.42;299.9;23350;1531;2462;6.4;16;3181;55290000
W40x278;415;1020;304;26;46;30;928.1;868.1;528;3.152;7.594;853120;16720;19570;40.17;288.6;21700;1428;2297;6.4;15.3;2703;51080000
W40x264;393;1016;303;24.4;43.9;30;928.1;868.1;501;3.143;8.003;807680;15890;18530;40.18;271.3;20490;1352;2167;6.4;14.7;2329;48080000
W40x235;350;1008;302;21.1;40;30;928.1;868.1;446;3.13;8.957;722960;14340;16580;40.3;236;18460;1222;1940;6.4;13.6;1718;43010000
W40x211;314;1000;300;19.1;35.9;30;928.1;868.1;400;3.11;9.894;644210;12880;14850;40.11;213.4;16230;1082;1712;6.3;12.6;1263;37530000
W40x183;272;990;300;16.5;31;30;928.1;868.1;346;3.095;11.36;553840;11180;12820;39.95;184.6;14000;933.6;1469;6.3;11.3;834.8;32070000
W40x167;249;980;300;16.5;26;30;928.1;868.1;317;3.075;12.36;481070;9817;11340;38.96;180.7;11750;783.6;1244;6;10.3;581.9;26620000
W40x149;222;970;300;16;21.1;30;928.1;868.1;282;3.056;13.76;407660;8405;9803;37.96;172.2;9545;636.3;1020;5.8;9.3;390;21370000
W36x925;1377;1093;473;76.7;115.1;25;862.8;812.8;1754;3.881;2.815;3035400;55540;67740;41.57;813;206350;8725;14160;10.8;33.6;60450;485320000
W36x853;1269;1093;461;64;115.1;25;862.8;812.8;1617;3.859;3.036;2901080;53080;64020;42.33;688.8;189900;8238;13130;10.8;32.3;52120;449320000
W36x802;1194;1081;457;60.5;109;25;862.8;812.8;1522;3.826;3.198;2696760;49890;59910;42.06;647.9;175050;7660;12190;10.7;30.7;44110;409540000
W36x723;1077;1061;451;55;99.1;25;862.8;812.8;1372;3.773;3.498;2379090;44840;53450;41.61;584;152760;6774;10740;10.5;28.2;33050;350470000
W36x652;970;1043;446;50;89.9;25;862.8;812.8;1237;3.727;3.832;2104260;40350;47750;41.21;526.9;133870;6003;9497;10.3;25.9;24680;301870000
W36x529;787;1011;437;40.9;73.9;25;862.8;812.8;1004;3.645;4.623;1649860;32630;38110;40.53;425.6;103310;4728;7431;10.1;21.7;13650;225650000
W36x487;725;999;434;38.1;68.1;25;862.8;812.8;924;3.614;4.976;1496530;29960;34830;40.21;394.1;93210;4295;6739;10;20.3;10750;201000000
W36x441;656;987;431;34.5;62;25;862.8;812.8;837;3.586;5.454;1339430;27140;31360;39.99;355.5;83050;3854;6027;9.9;18.7;8098;176960000
W36x395;588;975;427;31;55.9;25;862.8;812.8;750;3.553;6.032;1185310;24310;27940;39.74;318.2;72770;3408;5314;9.8;17.2;5923;153180000
W36x361;537;965;425;28.4;51.1;25;862.8;812.8;685;3.53;6.567;1069610;22160;25360;39.52;290.5;65560;3085;4799;9.7;15.9;4542;136510000
W36x330;491;957;422;25.9;47;25;862.8;812.8;626;3.507;7.141;970410;20280;23090;39.38;264.6;59010;2796;4339;9.7;14.9;3520;121870000
W36x302;449;948;423;24;42.7;25;862.8;812.8;576;3.497;7.765;878790;18540;21040;39.14;244;53980;2552;3953;9.7;13.8;2692;110360000
W36x282;420;943;422;22.5;39.9;25;862.8;812.8;535;3.486;8.279;817410;17330;19620;39.03;228.5;50070;2373;3671;9.6;13.1;2208;101890000
W36x262;390;936;420;21.3;36.6;25;862.8;812.8;497;3.466;8.891;745810;15930;18010;38.75;215.2;45270;2156;3334;9.5;12.3;1741;91390000
W36x247;368;931;419;20.3;34.3;25;862.8;812.8;468;3.454;9.404;696290;14950;16880;38.57;204.5;42120;2010;3108;9.4;11.8;1452;84530000
W36x231;344;927;418;19.3;32;25;862.8;812.8;439;3.444;9.983;649060;14000;15790;38.43;194.1;39010;1866;2884;9.4;11.2;1198;78000000
W36x387;576;993;322;36.1;65;25;862.8;812.8;733.2;3.158;5.469;1105790;22270;26370;38.77;372.9;36530;2269;3663;7;19.5;7292;77860000
W36x350;521;981;319;33;58.9;25;862.8;812.8;663.7;3.129;5.984;986480;20110;23700;38.48;339.1;32150;2015;3243;6.9;18;5470;67730000
W36x318;474;971;316;30;54.1;25;862.8;812.8;603.9;3.103;6.521;889750;18320;21480;38.31;307.5;28660;1814;2906;6.8;16.7;4210;59790000
W36x286;425;961;313;26.9;49;25;862.8;812.8;542;3.077;7.202;792250;16480;19220;38.15;275.2;25200;1610;2566;6.8;15.4;3113;52070000
W36x256;381;951;310;24.4;43.9;25;862.8;812.8;486;3.05;7.959;700850;14730;17110;37.89;248.6;21910;1414;2247;6.6;14.1;2265;44830000
W36x232;345;943;308;22.1;39.9;25;862.8;812.8;440;3.03;8.734;629660;13350;15440;37.74;224.9;19520;1267;2006;6.6;13.1;1705;39610000
W36x210;313;932;309;21.1;34.5;25;862.8;812.8;399;3.014;9.582;552310;11850;13720;37.12;212;17040;1103;1751;6.5;11.9;1206;34160000
W36x194;289;927;308;19.4;32;25;862.8;812.8;368;3.004;10.34;508550;10970;12660;37.07;195;15640;1016;1607;6.5;11.2;962.1;31200000
W36x182;271;923;307;18.4;30;25;862.8;812.8;346;2.994;10.94;475640;10300;11870;36.95;184.7;14520;946.2;1494;6.4;10.7;804.5;28840000
W36x170;253;919;306;17.3;27.9;25;862.8;812.8;323;2.984;11.68;441530;9609;11050;36.83;173.5;13370;874;1378;6.4;10.2;657.4;26440000
W36x160;238;915;305;16.5;25.9;25;862.8;812.8;303;2.974;12.38;410490;8972;10320;36.63;165;12290;805.9;1270;6.3;9.7;542.2;24200000
W36x150;223;911;304;15.9;23.9;25;862.8;812.8;285;2.963;13.1;380910;8362;9635;36.37;158.4;11230;738.8;1166;6.2;9.2;446.9;22010000
W36x135;201;903;304;15.2;20.1;25;862.8;812.8;256;2.948;14.51;329280;7293;8452;35.67;149.6;9447;621.5;985.6;6;8.4;311.3;18340000
W33x387;576;913;411;32;57.9;20;797.1;757.1;735;3.371;5.846;1011770;22160;25560;37.11;300.2;67220;3271;5101;9.5;17.1;6167;122460000
W33x354;527;903;409;29.5;53.1;20;797.1;757.1;672;3.348;6.338;915080;20260;23270;36.87;275.4;60730;2969;4621;9.5;15.9;4777;109340000
W33x318;473;893;406;26.4;48;20;797.1;757.1;603;3.322;7.01;813200;18210;20790;36.7;245.7;53670;2643;4100;9.4;14.5;3511;95560000
W33x291;433;885;404;24.4;43.9;20;797.1;757.1;552;3.302;7.611;736270;16630;18920;36.49;226.2;48350;2393;3706;9.3;13.5;2704;85320000
W33x263;392;877;401;22.1;39.9;20;797.1;757.1;499;3.279;8.36;659650;15040;17040;36.33;204.4;42960;2142;3310;9.2;12.5;2026;75110000
W33x241;359;868;403;21.1;35.6;20;797.1;757.1;457;3.271;9.088;591620;13630;15420;35.92;193.3;38900;1930;2984;9.2;11.5;1510;67260000
W33x221;329;862;401;19.7;32.4;20;797.1;757.1;419;3.254;9.861;535820;12430;14040;35.7;179.8;34870;1739;2687;9.1;10.7;1159;59910000
W33x201;299;856;400;18.2;29.2;20;797.1;757.1;381;3.241;10.8;481680;11250;12680;35.5;165.6;31190;1559;2406;9;10;866.2;53220000
W33x169;251;859;292;17;31;20;797.1;757.1;319;2.817;11.21;387490;9021;10320;34.8;156.6;12900;883.7;1383;6.3;10.2;745.5;22040000
W33x152;226;851;294;16.1;26.8;20;797.1;757.1;288;2.811;12.37;341070;8015;9188;34.32;146.8;11380;774.4;1214;6.2;9.3;522.6;19270000
W33x141;210;846;293;15.4;24.4;20;797.1;757.1;268;2.798;13.24;311710;7369;8455;34.02;139.7;10250;700.2;1098;6.1;8.7;412.7;17260000
W33x130;193;840;292;14.7;21.7;20;797.1;757.1;247;2.784;14.34;279440;6653;7652;33.61;132.4;9030;618.5;972.2;6;8.1;311.8;15070000
W33x118;176;835;292;14;18.8;20;797.1;757.1;224;2.775;15.72;247370;5925;6841;33.16;125.2;7824;535.9;844.4;5.8;7.5;226.8;12990000
W30x391;582;843;396;34.5;62;20;719.1;679.1;742;3.166;5.431;861550;20440;23750;34.06;297.7;64430;3254;5082;9.3;18.1;7219;97850000
W30x357;531;833;393;31.5;56.9;20;719.1;679.1;676;3.14;5.906;776640;18640;21550;33.86;270.7;57760;2939;4579;9.2;16.8;5563;86670000
W30x326;484;823;390;29;52.1;20;719.1;679.1;617;3.113;6.414;698760;16980;19530;33.61;247.8;51660;2649;4119;9.1;15.6;4279;76520000
W30x292;434;813;387;25.9;47;20;719.1;679.1;553;3.087;7.105;618840;15220;17400;33.43;220.6;45510;2352;3646;9;14.3;3127;66600000
W30x261;389;803;385;23.6;41.9;20;719.1;679.1;495;3.064;7.872;545190;13570;15450;33.16;199.8;39930;2074;3211;8.9;13;2247;57710000
W30x235;350;795;382;21.1;38.1;20;719.1;679.1;445;3.041;8.682;486880;12240;13860;33.03;178.4;35460;1856;2865;8.9;12;1675;50690000
W30x211;314;786;384;19.7;33.4;20;719.1;679.1;400;3.034;9.623;428860;10910;12320;32.67;165.1;31570;1644;2537;8.8;10.9;1182;44630000
W30x191;284;780;382;18;30.1;20;719.1;679.1;362;3.017;10.58;383750;9839;11070;32.51;150.5;28000;1466;2259;8.7;10.1;875;39310000
W30x173;257;772;381;16.6;27.1;20;719.1;679.1;328;3;11.61;342050;8861;9951;32.23;137.9;25010;1313;2020;8.7;9.4;651.1;34650000
